Model,MAE,RMSE,R2,MAPE,sMAPE,WAPE,Bias,model__metric,model__n_neighbors,model__weights
KNN_Tuned,4200.77,5741.21,0.404,30.2,30.25,27.4,-1939.95,euclidean,5,uniform
KNN_Tuned,4176.3,5747.78,0.4026,30.2,29.6,27.24,-1965.08,euclidean,9,uniform
KNN_Tuned,4186.02,5754.89,0.4011,30.3,29.66,27.31,-1949.64,euclidean,9,distance
KNN_Tuned,4210.55,5757.75,0.4005,30.2,30.27,27.47,-1993.95,euclidean,7,uniform
KNN_Tuned,4242.04,5779.58,0.396,30.68,30.54,27.67,-1962.87,euclidean,7,distance
KNN_Tuned,4264.43,5817.8,0.3879,30.81,30.64,27.82,-1928.88,euclidean,5,distance
KNN_Tuned,4360.19,5926.3,0.3649,31.25,30.5,28.44,-2014.24,euclidean,11,distance
KNN_Tuned,4392.15,5978.67,0.3536,31.37,30.64,28.65,-2045.91,euclidean,11,uniform
KNN_Tuned,4600.55,5982.1,0.3529,33.61,32.95,30.01,-2069.41,manhattan,7,uniform
KNN_Tuned,4630.83,6021.11,0.3444,33.83,33.15,30.21,-2085.78,manhattan,7,distance
KNN_Tuned,4678.58,6079.98,0.3315,33.75,32.56,30.52,-2106.51,euclidean,15,distance
KNN_Tuned,4677.85,6090.14,0.3293,34.4,34.35,30.51,-2103.32,manhattan,5,uniform
KNN_Tuned,4542.33,6134.74,0.3194,32.7,32.49,29.63,-2101.15,manhattan,9,distance
KNN_Tuned,4515.67,6146.11,0.3169,32.47,32.29,29.46,-2091.04,manhattan,9,uniform
KNN_Tuned,4724.37,6160.26,0.3138,34.82,34.58,30.82,-2115.12,manhattan,5,distance
KNN_Tuned,4772.35,6177.42,0.3099,34.39,33.15,31.13,-2153.03,euclidean,15,uniform
KNN_Tuned,4654.82,6276.13,0.2877,33.16,32.83,30.36,-2281.66,manhattan,11,distance
KNN_Tuned,4885.07,6342.04,0.2727,34.91,34.37,31.87,-2408.27,manhattan,15,distance
KNN_Tuned,4727.92,6350.88,0.2706,33.74,33.33,30.84,-2305.24,manhattan,11,uniform
KNN_Tuned,4440.6,6389.95,0.2616,33.9,32.94,28.97,-1781.43,euclidean,3,uniform
KNN_Tuned,4482.99,6405.38,0.2581,34.24,33.07,29.24,-1794.43,euclidean,3,distance
KNN_Tuned,5009.0,6462.61,0.2447,35.91,35.19,32.67,-2454.09,manhattan,15,uniform
KNN_Tuned,5275.44,6925.28,0.1327,40.31,38.3,34.41,-2241.58,manhattan,3,distance
KNN_Tuned,5279.2,6955.35,0.1252,40.13,38.35,34.44,-2291.07,manhattan,3,uniform
