Order_Date,Sales,week_of_year,month,quarter,year,weeks_since_start,week_sin,week_cos,lag_1,lag_2,lag_3,lag_4,lag_8,lag_12,rolling_mean_2,rolling_std_2,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,diff_1,pct_change_1
2015-03-29,3998.777,13,3,1,2015,12,1.0,-1.6081226496766364e-16,37703.665,4139.602,4030.728,2289.643,2527.9139999999998,304.508,20921.6335,23733.3765514725,12040.9095,17129.486138228636,6832.0064999999995,12546.13840919608,33564.063,8.10804106288479
2015-04-05,10363.902,14,4,2,2015,13,0.992708874098054,-0.12053668025532288,3998.777,37703.665,4139.602,4030.728,968.534,4619.108,20851.221,23832.954863933093,12468.193,16823.756002701914,7015.864375000001,12484.680156578495,-33704.888,-0.8939419549797082
2015-04-12,8418.293,15,4,2,2015,14,0.9709418174260521,-0.2393156642875575,10363.902,3998.777,37703.665,4139.602,2771.054,4130.533,7181.3395,4500.823050600036,14051.486499999999,16045.001816487205,8190.285375000001,12274.687683408509,6365.125,1.5917679330455288
2015-04-19,2198.37,16,4,2,2015,15,0.9350162426854148,-0.35460488704253545,8418.293,10363.902,3998.777,37703.665,224.912,3092.5440000000003,9391.0975,1375.753317437621,15121.15925,15288.741667993967,8896.19025,12079.340150600869,-1945.6090000000004,-0.1877293899537067
2015-04-26,5660.104,17,4,2,2015,16,0.8854560256532099,-0.4647231720437685,2198.37,8418.293,10363.902,3998.777,2289.643,2527.9139999999998,5308.3315,4398.149731758188,6244.8355,3790.746987241479,9142.872500000001,11895.714245475698,-6219.923,-0.7388579846294254
2015-05-03,4974.812,18,5,2,2015,17,0.8229838658936565,-0.5680647467311557,5660.104,2198.37,8418.293,10363.902,4030.728,968.534,3929.237,2447.815586064058,6660.16725,3545.721292641729,9564.180125,11675.976819313059,3461.7340000000004,1.574682150866324
2015-05-10,6332.464,19,5,2,2015,18,0.7485107481711013,-0.663122658240795,4974.812,5660.104,2198.37,8418.293,4139.602,2771.054,5317.4580000000005,484.57462029302025,5312.8947499999995,2554.6439359591654,9682.190625000001,11616.680361434514,-685.2920000000004,-0.12107410040522226
2015-05-17,3967.87,20,5,2,2015,19,0.6631226582407952,-0.7485107481711012,6332.464,4974.812,5660.104,2198.37,37703.665,224.912,5653.638,960.0049356915429,4791.4375,1815.3943032420502,9956.298375,11492.420717682602,1357.652,0.27290518717089207
2015-05-24,6241.984,21,5,2,2015,20,0.5680647467311558,-0.8229838658936564,3967.87,6332.464,4974.812,5660.104,3998.777,2289.643,5150.1669999999995,1672.0204521530611,5233.8125,1009.6948769687913,5739.324,2624.3931110865506,-2364.594,-0.37340820255748786
2015-05-31,6523.233,22,5,2,2015,21,0.46472317204376906,-0.8854560256532096,6241.984,3967.87,6332.464,4974.812,10363.902,4030.728,5104.927,1608.041430591304,5379.2825,1126.7194978596149,6019.724875,2529.9983179388737,2274.1140000000005,0.5731321842701502
2015-06-07,8569.948,23,6,2,2015,22,0.35460488704253584,-0.9350162426854147,6523.233,6241.984,3967.87,6332.464,8418.293,4139.602,6382.6085,198.87307510223613,5766.38775,1204.7288689909744,5539.64125,1864.8647466864445,281.2489999999998,0.04505762911279487
